--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
pet_config_popup_普通,Обычный
pet_config_popup_精良,Необычный
pet_config_popup_稀有,Редкий
pet_config_popup_史诗,Эпический
pet_config_popup_传说,Легендарный
pet_config_popup_神话,Мифический
pet_config_popup_宠物配置,Настройка питомца
pet_config_popup_自动拾取,Автоподбор
pet_config_popup_已开启,Включено
pet_config_popup_已关闭,Выключено
pet_config_popup_拾取等级,Уровень подбора
pet_config_popup_全选,Выбрать все
pet_config_popup_清空,Очистить
pet_config_popup_拾取品质,Качество подбора
pet_config_popup_应用,Применить
pet_config_popup_X级,Уровень {level}
pet_config_popup_材料,Материалы
pet_config_popup_装备,Снаряжение
pet_config_popup_符印,Печати
pet_config_popup_图纸,Чертежи
pet_config_popup_药剂,Зелья
pet_config_popup_其他,Другое
pet_config_popup_全捡,Все подобрать
pet_config_popup_成长,Рост
pet_config_popup_高价值,Высокая ценность
pet_config_popup_材料图纸,Материалы и чертежи
pet_config_popup_自定义,Пользовательский
pet_config_popup_拾取类型,Тип подбора
pet_config_popup_当前预设,Текущий: {preset}
pet_hover_tooltip_未出战,Не в бою
pet_hover_tooltip_自动拾取已开启,Автоподбор включён
pet_hover_tooltip_自动拾取已关闭,Автоподбор выключен
pet_hover_tooltip_等级,Уровень
pet_hover_tooltip_品质,Качество
pet_hover_tooltip_预设,Пресет
pet_hover_tooltip_类型,Тип
pet_hover_tooltip_左键提示,Левый клик мыши - включить/отключить автоподбор питомца
pet_hover_tooltip_右键提示,Правый клик мыши - открыть настройки питомца
pet_config_popup_图鉴拾取名单,Список подбора из бестиария
pet_config_popup_白名单,Белый список
pet_config_popup_黑名单,Черный список
pet_config_popup_暂无物品,Нет предметов
pet_config_popup_可在图鉴中将物品加入黑白名单,В бестиарии можно добавлять предметы в белый или черный список